client_id,age,job,marital,education,credit,housing,loan,contact,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y,date
1,56,housemaid,married,basic,no,no,no,telephone,mon,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
2,57,services,married,high.school,unknown,no,no,telephone,mon,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
3,37,services,married,high.school,no,yes,no,telephone,mon,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
4,40,admin.,married,basic,no,no,no,telephone,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
5,56,services,married,high.school,no,no,yes,telephone,mon,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
6,45,services,married,basic,unknown,no,no,telephone,mon,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
7,59,admin.,married,professional.course,no,no,no,telephone,mon,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
8,41,blue-collar,married,unknown,unknown,no,no,telephone,mon,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
9,24,technician,single,professional.course,no,yes,no,telephone,mon,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
10,25,services,single,high.school,no,yes,no,telephone,mon,50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
11,41,blue-collar,married,unknown,unknown,no,no,telephone,mon,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
12,25,services,single,high.school,no,yes,no,telephone,mon,222,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
13,29,blue-collar,single,high.school,no,no,yes,telephone,mon,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
14,57,housemaid,divorced,basic,no,yes,no,telephone,mon,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
15,35,blue-collar,married,basic,no,yes,no,telephone,mon,146,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
16,54,retired,married,basic,unknown,yes,yes,telephone,mon,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
17,35,blue-collar,married,basic,no,yes,no,telephone,mon,312,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
18,46,blue-collar,married,basic,unknown,yes,yes,telephone,mon,440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
19,50,blue-collar,married,basic,no,yes,yes,telephone,mon,353,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
20,39,management,single,basic,unknown,no,no,telephone,mon,195,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
21,30,unemployed,married,high.school,no,no,no,telephone,mon,38,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
22,55,blue-collar,married,basic,unknown,yes,no,telephone,mon,262,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
23,55,retired,single,high.school,no,yes,no,telephone,mon,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
24,41,technician,single,high.school,no,yes,no,telephone,mon,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
25,37,admin.,married,high.school,no,yes,no,telephone,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
26,35,technician,married,university.degree,no,no,yes,telephone,mon,99,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
27,59,technician,married,unknown,no,yes,no,telephone,mon,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
28,39,self-employed,married,basic,unknown,no,no,telephone,mon,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
29,54,technician,single,university.degree,unknown,no,no,telephone,mon,255,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
30,55,unknown,married,university.degree,unknown,unknown,unknown,telephone,mon,362,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
31,46,admin.,married,unknown,no,no,no,telephone,mon,348,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
32,59,technician,married,unknown,no,yes,no,telephone,mon,386,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
33,49,blue-collar,married,unknown,no,no,no,telephone,mon,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
34,54,management,married,basic,unknown,yes,no,telephone,mon,230,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
35,54,blue-collar,divorced,basic,no,no,no,telephone,mon,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
36,55,unknown,married,basic,unknown,yes,no,telephone,mon,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
37,34,services,married,high.school,no,no,no,telephone,mon,365,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
38,52,technician,married,basic,no,yes,no,telephone,mon,1666,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
39,41,admin.,married,university.degree,no,yes,no,telephone,mon,577,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
40,56,technician,married,basic,no,yes,no,telephone,mon,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
